plant_number,plant_ID,stress
plant1,Salk_080561C,100
plant2,Salk_056202C,100
plant3,SalkSeq-50.E01.1,100
plant4,Col-0,100
plant5,Salk_203144,100
plant6,Salk_098896,100
plant7,Salk_098896,100
plant8,Salk_203144,100
plant9,Salk_056202C,100
plant10,SalkSeq-50.E01.1,100
plant11,SalkSeq-50.E01.1,100
plant12,SailSeq201-G03.1,100
plant13,SailSeq201-G03.1,100
plant14,Salk_080561C,100
plant15,Salk_098896,100
plant16,Salk_002822C,100
plant17,Salk_002822C,100
plant18,Salk_203144,100
plant19,Salk_102761C,100
plant20,Col-0,100
plant21,SailSeq201-G03.1,100
plant22,Salk_080561C,100
plant23,Col-0,100
plant24,Salk_002822C,100
