plant_number,plant_ID,stress
plant1,SailSeq201-G03.1,100
plant2,Salk_203144,100
plant3,SalkSeq-50.E01.1,100
plant4,SailSeq201-G03.1,100
plant5,SalkSeq-50.E01.1,100
plant6,SalkSeq-50.E01.1,100
plant7,Salk_056202C,100
plant8,Salk_098896,100
plant9,SailSeq201-G03.1,100
plant10,Salk_098896,100
plant11,Salk_102761C,100
plant12,Salk_098896,100
plant13,Salk_203144,100
plant14,Salk_002822C,100
plant15,Salk_080561C,100
plant16,Salk_203144,100
plant17,Salk_080561C,100
plant18,Salk_002822C,100
plant19,Salk_002822C,100
plant20,Col-0,100
plant21,Col-0,100
plant22,Salk_080561C,100
plant23,Col-0,100
plant24,Salk_102761C,100
